file,n_comparisons,exact_%,minor_%,severe_%,over_scoring_%,under_scoring_%,mean_delta
full_active.csv,3666,63.666121112929616,32.651391162029455,3.6824877250409163,5.182760501909438,31.151118385160935,-0.28614293507910527
full_baseline.csv,3666,59.9290780141844,35.13366066557556,4.937261320240044,4.609929078014184,35.46099290780142,-0.3469721767594108
full_cot.csv,3666,61.593016912165844,33.824331696672125,4.582651391162029,4.582651391162029,33.824331696672125,-0.32896890343698854
full_critique.csv,3666,62.30223677032187,33.63338788870704,4.064375340971085,4.937261320240044,32.76050190943808,-0.30960174577195854
full_decomposed.csv,3666,61.97490452809602,34.15166393889798,3.873431533006001,4.746317512274959,33.278777959629025,-0.3158756137479542
full_deliberative.csv,3666,61.211129296235676,34.288052373158756,4.500818330605565,4.609929078014184,34.178941625750134,-0.33087834151663936
full_few.csv,3666,62.19312602291326,32.787779596290235,5.019094380796509,4.609929078014184,33.19694489907256,-0.33006001091107473
full_react.csv,3666,62.7114020731042,32.81505728314239,4.4735406437534095,4.828150572831424,32.46044735406438,-0.31069285324604473
full_sc.csv,3666,64.32078559738135,31.50572831423895,4.173486088379706,5.210038188761593,30.469176213857065,-0.284506273867976
full_zero.csv,3666,72.0949263502455,24.604473540643752,3.3006001091107477,10.065466448445171,17.83960720130933,-0.05564648117839607
sections_active.csv,3666,55.264593562465905,36.442989634479,8.2924168030551,4.528096017457719,40.207310420076375,-0.4326241134751773
sections_baseline.csv,3666,71.27659574468085,21.49481723949809,7.228587015821058,8.756137479541735,19.967266775777414,-0.16202945990180032
sections_cot.csv,3666,70.949263502455,24.440807419530824,4.609929078014184,8.237861429350792,20.812875068194217,-0.15166393889798144
sections_critique.csv,3666,53.73704309874523,37.67048554282597,8.592471358428805,4.14620840152755,42.11674849972722,-0.4590834697217676
sections_decomposed.csv,3666,55.755591925804694,36.33387888707038,7.910529187124932,4.391707583196945,39.85270049099836,-0.4266230223677032
sections_deliberative.csv,3666,53.40971085651937,37.88870703764321,8.701582105837424,4.009819967266775,42.58046917621386,-0.4656301145662848
sections_few.csv,3666,53.218767048554284,37.07037643207856,9.710856519367157,4.118930714675396,42.66230223677032,-0.47708674304418985
sections_react.csv,3666,71.60392798690671,23.75886524822695,4.63720676486634,8.456082924168031,19.93998908892526,-0.13938897981451173
sections_sc.csv,3666,56.38297872340425,35.27004909983633,8.346972176759412,4.4189852700491,39.198036006546644,-0.4230769230769231
sections_zero.csv,3666,75.0681942171304,17.812329514457172,7.1194762684124395,11.347517730496454,13.584288052373159,-0.04991816693944354
