file,n_comparisons,exact_%,minor_%,severe_%,over_scoring_%,under_scoring_%,mean_delta
full_active.csv,3666,51.58210583742498,45.744680851063826,2.673213311511184,4.773595199127114,43.644298963447895,-0.39961811238406986
full_baseline.csv,3666,50.736497545008184,46.262956901254775,3.000545553737043,4.69176213857065,44.57174031642116,-0.414620840152755
full_cot.csv,3666,51.11838516093835,46.208401527550464,2.673213311511184,4.6644844517184945,44.217130387343154,-0.408619749045281
full_critique.csv,3666,50.163666121112925,47.35406437534097,2.4822695035460995,4.609929078014184,45.226404800872885,-0.41843971631205673
full_decomposed.csv,3666,49.83633387888707,46.9721767594108,3.1914893617021276,4.6644844517184945,45.49918166939443,-0.4266230223677032
full_deliberative.csv,3666,51.36388434260775,45.63557010365521,3.000545553737043,4.63720676486634,43.99890889252591,-0.4083469721767594
full_few.csv,3666,53.218767048554284,44.217130387343154,2.564102564102564,5.619203491543917,41.1620294599018,-0.36033824331696673
full_react.csv,3666,49.67266775777414,47.299509001636665,3.027823240589198,4.4735406437534095,45.85379159847245,-0.430987452264048
full_sc.csv,3666,48.82705946535734,48.00872885979269,3.1642116748499727,4.800872885979269,46.372067648663396,-0.43044189852700493
full_zero.csv,3666,64.1025641025641,32.81505728314239,3.082378614293508,9.410801963993453,26.486633933442445,-0.14266230223677032
sections_active.csv,3666,51.96399345335515,42.49863611565739,5.537370430987452,4.228041462084016,43.80796508456083,-0.436442989634479
sections_baseline.csv,3666,50.95471903982543,43.69885433715221,5.346426623022368,4.20076377523186,44.84451718494272,-0.44953627932351337
sections_cot.csv,3665,51.15961800818554,42.537517053206,6.302864938608459,4.229195088676671,44.61118690313779,-0.45266030013642566
sections_critique.csv,3665,50.42291950886767,44.33833560709413,5.238744884038199,4.283765347885402,45.29331514324693,-0.45266030013642566
sections_decomposed.csv,3665,50.85948158253751,43.656207366984994,5.48431105047749,4.529331514324693,44.61118690313779,-0.44201909959072305
sections_deliberative.csv,3666,50.272776868521554,43.88979814511729,5.837424986361157,4.091653027823241,45.63557010365521,-0.46126568466994
sections_few.csv,3666,53.00054555373704,40.698308783415165,6.30114566284779,4.555373704309875,42.44408074195308,-0.430987452264048
sections_react.csv,3666,50.57283142389526,43.50791052918713,5.919258046917621,4.228041462084016,45.19912711402073,-0.4563557010365521
sections_sc.csv,3666,50.327332242225864,43.97163120567376,5.701036552100382,4.391707583196945,45.280960174577196,-0.45553737043098746
sections_zero.csv,3666,57.99236224768139,38.216039279869065,3.791598472449536,7.801418439716312,34.20621931260229,-0.27686852154937264
